,Brain,brain annotated,y.n.brain,Liver,Kidney,Serum,Brain_Liver,Brain_Kidney,Brain_Serum,Liver_Kidney,Liver_Serum,Kidney_Serum,Brain_Liver_Kidney,Brain_Liver_Serum,Brain_Kidney_Serum,Liver_Kidney_Serum,All
72,Sorcs2,T,y,Cmya5,Top1mt,Ankrd1,NA,Fkbp10,NA,NA,NA,NA,Rcn3,NA,NA,NA,NA
73,Mta2,F,n,Osbpl1a,Dnajc16,Acadvl,NA,Ddost,NA,NA,NA,NA,Itgb5,NA,NA,NA,NA
74,Rbm25,F,n,Ccdc57,Kidins220,Mst1,NA,Fkbp9,NA,NA,NA,NA,Sec11a,NA,NA,NA,NA
75,Pcsk2,F,n,Ascc2,Slc5a2,Pkhd1l1,NA,St8sia1,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Prrc2a,F,n,Arap2,Npnt,Igha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Cacna2d2,T,y,Ppp4r1,Gpc4,Serpina1e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Tra2b,F,n,Bfsp2,Vwa5a,F8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Psip1,F,n,Gle1,Ugt2b34,Gemin5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Asphd2,F,n,NA,Neu1,Slc5a12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Vgf,T,y,NA,Ppp2r2d,P01645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Gramd1a,F,n,NA,Lad1,H2-Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Rpl18,F,n,NA,9/11/21,Ighv6-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Nptxr,F,n,NA,H2-K1,Brd1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Srsf2,F,n,NA,H2-D1,H2afz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Raly,F,n,NA,BC017158,Plekhh2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,U2af2,F,n,NA,Cwh43,Ighg2b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Nlgn3,T,y,NA,P3h1,Igkv12-44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Cntnap4,T,y,NA,Edem3,Igfbp6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Tmx4,F,n,NA,Tmed2,Apoc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,Ranbp9,F,n,NA,Tagln2,Chd9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,Mcu,F,n,NA,Mep1b,C1qb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,Itm2c,T,y,NA,Fam20b,Igkv8-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,Rnps1,F,n,NA,Capn1,Igkv4-53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,Eef1d,F,n,NA,Uxs1,Cdh17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Astn2,T,y,NA,Ahcyl2,Ighv1-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,Atp6ap2,F,n,NA,St6galnac2,Apoa2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,Slc39a12,F,n,NA,Fuca2,Ighv5-9-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,Pcdh17,F,n,NA,Crim1,P18524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,Sparc,F,n,NA,Ctsf,Igkv6-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Itih5,F,n,NA,Kcp,Lrrk2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Cpe,F,n,NA,Galnt2,Igkv6-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,Brinp2,T,y,NA,Galnt4,Casp8ap2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Brinp3,T,y,NA,Afdn,Apoc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,Csnk2b,F,n,NA,Atp9b,P01837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,Clstn1,T,y,NA,Scin,Iglc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,Ptn,F,n,NA,Susd2,Ighv1-74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,Slc6a17,T,y,NA,Fut9,Cpsf3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,Alyref,F,n,NA,H2afy2,Mycl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,Prelp,F,n,NA,Abca13,Serpind1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,Ppig,F,n,NA,Cachd1,Itga2b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Pigu,F,n,NA,Pm20d1,Cdh5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,Tnc,T,y,NA,Pigg,Cfp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,Arglu1,F,n,NA,Tmco3,Dnah11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,Adam23,F,n,NA,Eif4g1,Pi16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,Slc9a6,T,y,NA,Gas2,Ifnar2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,Nrcam,T,y,NA,Tmem260,Fetub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,Prr36,F,n,NA,Ca4,A11111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,Colec12,F,n,NA,Dnajb12,Eloa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,Galnt13,F,n,NA,Eogt,P01634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,Prex2,F,n,NA,Kiaa0319l,H2-Q6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,Ptprn,F,n,NA,Vnn1,Ighv2-9-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Asic1,T,y,NA,Lama3,Igkv4-57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,Vstm2l,T,y,NA,Dpysl2,Atf6b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,Washc2,F,n,NA,Mgat1,C5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Selenon,F,n,NA,Lypla2,Dlgap4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,Sulf1,F,n,NA,Raf1,P01636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,Cplx2,T,y,NA,Ephb4,Igkv19-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,Prpf40a,T,y,NA,Gm2a,Dnase2a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,Clgn,F,n,NA,Sfrp1,Ambp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,Tmem245,T,y,NA,Igbp1,Ighv7-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Wfikkn2,F,n,NA,Tm9sf4,Igkv6-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,P4htm,F,n,NA,Arsb,Atf6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,Rras2,F,n,NA,Plbd2,Cfhr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,Ralyl,F,n,NA,Map4k4,Ighv4-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,Rnf41,F,n,NA,Ptpra,Gm5571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,Srsf11,F,n,NA,Adam17,Glycam1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Chmp1a,F,n,NA,Cttn,Azgp1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,Asphd1,T,y,NA,Iscu,Ppbp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Ncam2,T,y,NA,Man1a2,Cenpc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Dtd1,T,y,NA,Dcakd,Neb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,Sbspon,F,n,NA,Kdelc2,Lipc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,Snrpd2,F,n,NA,Gsta1,Ccdc40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,Maea,T,y,NA,Ca15,Cd97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,Cbln3,T,y,NA,Cnnm2,Fcn1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,Dusp10,F,n,NA,Fam69a,Selenop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,Tp53bp1,F,n,NA,Clcnka,Dsg3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,Baz1b,F,n,NA,Vapa,Igkv5-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,Elmod1,F,n,NA,Galnt14,Pgk1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,Lsamp,T,y,NA,C1galt1c1,Sri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,Sap18,F,n,NA,Ca14,P01660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Epdr1,F,n,NA,Fnbp1l,Adgrf5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,Rnf112,T,y,NA,Sdf2,F12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Eif2a,F,n,NA,Exoc8,C8g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,Dpp6,T,y,NA,As3mt,Ighv2-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,Ecel1,F,n,NA,Ntn1,Srl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,Bicd2,F,n,NA,Kdelc1,Serpina10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,Clstn3,T,y,NA,Pfas,Igkv12-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,Smchd1,F,n,NA,Nectin3,Hgfac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,C1qbp,F,n,NA,Tmppe,Dchs2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,Cntnap5a,T,y,NA,Tor1aip1,Ighm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Col12a1,F,n,NA,Enpp1,Igkv13-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Scn1b,T,y,NA,Myl12a,Ckap5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,Mcrip1,F,n,NA,Ctbs,Flt4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,Acan,F,n,NA,Col4a5,Ighv6-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,Cacybp,T,y,NA,Col4a1,Epb41l5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,Ndufa7,F,n,NA,Smpd1,P01662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,Syt11,T,y,NA,Ctsb,Hba-a1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,Gpcpd1,F,n,NA,Gmds,C6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,Lyst,F,n,NA,Amn,Igkv8-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,Adam11,T,y,NA,Bcam,Ctla2a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,Magohb,F,n,NA,Tgfbr1,Ighv11-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,,,NA,Gpx6,Hamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,,,NA,Myorg,Saa4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,NA,,,NA,Lasp1,Gm7298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,NA,,,NA,Pxn,Psma1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,NA,,,NA,Herpud1,Serping1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,NA,,,NA,Skp1,Igkv4-55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,NA,,,NA,Ergic2,Ighv1-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,NA,,,NA,Hpn,Igkv8-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,NA,,,NA,Tapbp,Ica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,NA,,,NA,Cdh6,Fgf15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,NA,,,NA,Ifi204,Serpina3c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,NA,,,NA,Plvap,Serpina7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,NA,,,NA,Adam9,Cfhr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,NA,,,NA,Impad1,Oaf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,NA,,,NA,Epcam,Ighg2c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,NA,,,NA,Spink1,Intu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,,,NA,Pamr1,Cd5l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,,,NA,Ddr1,Apcs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,,,NA,Cald1,Igkv8-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,,,NA,Syne3,5830473C10Rik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,,,NA,Tmem30a,Serpina1d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,NA,,,NA,Folr1,Ighe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,NA,,,NA,Edem2,Igf1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,NA,,,NA,Serpina1f,Ighv8-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,NA,,,NA,Mgat2,Hydin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,NA,,,NA,Fbxo6,Pon1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,NA,,,NA,Ubr1,Clec3b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,NA,,,NA,Rae1,Comp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,NA,,,NA,Tor1a,Xylt2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,NA,,,NA,Mgst3,Ighv8-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,NA,,,NA,Hs6st1,Krt13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,NA,,,NA,Slco1a6,Ighv1-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
