"","x"
"1","Q8BHN3"
"2","Q8VC81"
"3","A2ARZ3"
"4","Q9EPR2"
"5","D3Z4E2"
"6","P42703-2"
"7","Q63880"
"8","Q8BK48"
"9","Q8VCU1"
"10","P50172"
"11","P59481"
"12","Q8QZR3"
"13","P63005"
"14","Q03311"
"15","P34927"
"16","Q9CRD2"
"17","Q9CXE7"
